Gene > Primary DBID	Gene > Systematic Name	Gene > Standard Name	Gene > Qualifier	Gene > Chromosome > Identifier	Gene > Chromosome Location > Start	Gene > Chromosome Location > End	Gene > Chromosome Location > Strand	Gene > Overlapping Features > Primary DBID	Gene > Overlapping Features > Systematic Name	Gene > Overlapping Features > Standard Name	Gene > Overlapping Features > Qualifier	Gene > Overlapping Features > Chromosome Location > Start	Gene > Overlapping Features > Chromosome Location > End	Gene > Overlapping Features > Chromosome Location > Strand
S000001330	YIL068C	SEC6	Verified	chrIX	233057	235474	-1	S000028792	YIL068W-A	""	Dubious	233013	233396	1
S000001333	YIL071C	PCI8	Verified	chrIX	228660	229994	-1	S000028793	YIL071W-A	""	Dubious	228550	229026	1
S000001344	YIL082W	""	Dubious	chrIX	205635	206507	1	S000003537	YIL082W-A	""	""	205635	210132	1
S000001362	YIL100W	""	Dubious	chrIX	177373	177726	1	S000028794	YIL100C-A	""	Dubious	177343	177681	-1
S000001367	YIL105C	SLM1	Verified	chrIX	167581	169641	-1	S000028657	YIL105W-A	""	Uncharacterized	167664	167804	1
S000001377	YIL115C	NUP159	Verified	chrIX	144327	148709	-1	S000028795	YIL115W-A	""	Dubious	144268	144639	1
S000001402	YIL140W	AXL2	Verified	chrIX	85366	87837	1	S000001403	YIL141W	""	Dubious	85053	85442	1
S000001403	YIL141W	""	Dubious	chrIX	85053	85442	1	S000001402	YIL140W	AXL2	Verified	85366	87837	1
S000001404	YIL142W	CCT2	Verified	chrIX	83302	84885	1	S000028796	YIL142C-A	""	Dubious	83208	83540	-1
S000001419	YIL157C	COA1	Verified	chrIX	46949	47542	-1	S000028797	YIL156W-A	""	Dubious	47292	47693	1
S000001434	YIL172C	IMA3	Verified	chrIX	16784	18553	-1	S000028798	YIL171W-A	""	Dubious	18260	18712	1
S000001436	YIL174W	""	""	chrIX	9469	9696	1	S000001437	YIL175W	""	""	9183	9500	1
S000001437	YIL175W	""	""	chrIX	9183	9500	1	S000001436	YIL174W	""	""	9469	9696	1
S000001439	YIL177C	""	Uncharacterized	chrIX	483	6147	-1	S000028658	YIL177W-A	""	Dubious	846	1328	1
S000001456	YIR017C	MET28	Verified	chrIX	383556	384119	-1	S000028799	YIR017W-A	""	Dubious	383566	384165	1
S000001459	YIR020C	""	Uncharacterized	chrIX	394255	394557	-1	S000132612	ICR1	ICR1	""	393884	397082	-1
S000001460	YIR021W	MRS1	Verified	chrIX	397294	398385	1	S000028800	YIR020C-B	""	Dubious	397215	397949	-1
S000001462	YIR023W	DAL81	Verified	chrIX	399777	402689	1	S000028801	YIR023C-A	""	Dubious	402383	402706	-1
S000001470	YIR031C	DAL7	Verified	chrIX	413015	414679	-1	S000028802	YIR030W-A	""	Dubious	412899	413282	1
S000001475	YIR036C	IRC24	Verified	chrIX	422074	422865	-1	S000028803	YIR036W-A	""	Dubious	422635	423036	1
S000001512	YKL029C	MAE1	Verified	chrXI	382716	384725	-1	S000001513	YKL030W	""	Dubious	382498	383103	1
S000001513	YKL030W	""	Dubious	chrXI	382498	383103	1	S000001512	YKL029C	MAE1	Verified	382716	384725	-1
S000001518	YKL035W	UGP1	Verified	chrXI	369891	371390	1	S000001519	YKL036C	""	Dubious	369528	369920	-1
S000001519	YKL036C	""	Dubious	chrXI	369528	369920	-1	S000001518	YKL035W	UGP1	Verified	369891	371390	1
S000001519	YKL036C	""	Dubious	chrXI	369528	369920	-1	S000001520	YKL037W	AIM26	Verified	369365	369721	1
S000001520	YKL037W	AIM26	Verified	chrXI	369365	369721	1	S000001519	YKL036C	""	Dubious	369528	369920	-1
S000001535	YKL052C	ASK1	Verified	chrXI	339668	340546	-1	S000001536	YKL053W	""	Dubious	339572	339946	1
S000001536	YKL053W	""	Dubious	chrXI	339572	339946	1	S000001535	YKL052C	ASK1	Verified	339668	340546	-1
S000001558	YKL075C	""	Uncharacterized	chrXI	292956	294308	-1	S000001559	YKL076C	PSY1	Dubious	292838	293221	-1
S000001559	YKL076C	PSY1	Dubious	chrXI	292838	293221	-1	S000001558	YKL075C	""	Uncharacterized	292956	294308	-1
S000001564	YKL081W	TEF4	Verified	chrXI	282891	284455	1	S000007301	snR38	SNR38	""	283185	283279	1
S000001565	YKL082C	RRP14	Verified	chrXI	281025	282329	-1	S000001566	YKL083W	""	Dubious	280921	281535	1
S000001566	YKL083W	""	Dubious	chrXI	280921	281535	1	S000001565	YKL082C	RRP14	Verified	281025	282329	-1
S000001583	YKL100C	YPF1	Verified	chrXI	253697	255460	-1	S000028840	YKL100W-A	""	Dubious	254159	254248	1
S000001594	YKL111C	""	Dubious	chrXI	228464	228799	-1	S000001595	YKL112W	ABF1	Verified	226570	228765	1
S000001595	YKL112W	ABF1	Verified	chrXI	226570	228765	1	S000001594	YKL111C	""	Dubious	228464	228799	-1
S000001598	YKL115C	""	Dubious	chrXI	222893	223285	-1	S000001599	YKL116C	PRR1	Verified	221344	222900	-1
S000001599	YKL116C	PRR1	Verified	chrXI	221344	222900	-1	S000001598	YKL115C	""	Dubious	222893	223285	-1
S000001601	YKL118W	""	Dubious	chrXI	219126	219437	1	S000001602	YKL119C	VPH2	Verified	218570	219217	-1
S000001602	YKL119C	VPH2	Verified	chrXI	218570	219217	-1	S000001601	YKL118W	""	Dubious	219126	219437	1
S000001606	YKL123W	""	Dubious	chrXI	212043	212423	1	S000001607	YKL124W	SSH4	Verified	210593	212332	1
S000001607	YKL124W	SSH4	Verified	chrXI	210593	212332	1	S000001606	YKL123W	""	Dubious	212043	212423	1
S000001614	YKL131W	""	Dubious	chrXI	194478	194999	1	S000001615	YKL132C	RMA1	Verified	193574	194866	-1
S000001615	YKL132C	RMA1	Verified	chrXI	193574	194866	-1	S000001614	YKL131W	""	Dubious	194478	194999	1
S000001618	YKL135C	APL2	Verified	chrXI	186460	188640	-1	S000001619	YKL136W	""	Dubious	186416	186814	1
S000001619	YKL136W	""	Dubious	chrXI	186416	186814	1	S000001618	YKL135C	APL2	Verified	186460	188640	-1
S000001628	YKL145W	RPT1	Verified	chrXI	174213	175616	1	S000028841	YKL145W-A	""	Dubious	174958	175050	1
S000001629	YKL146W	AVT3	Verified	chrXI	171783	173861	1	S000001630	YKL147C	""	Dubious	171551	172168	-1
S000001630	YKL147C	""	Dubious	chrXI	171551	172168	-1	S000001629	YKL146W	AVT3	Verified	171783	173861	1
S000001635	YKL152C	GPM1	Verified	chrXI	163642	164385	-1	S000001636	YKL153W	""	Dubious	163600	164109	1
S000001636	YKL153W	""	Dubious	chrXI	163600	164109	1	S000001635	YKL152C	GPM1	Verified	163642	164385	-1
S000001639	YKL156W	RPS27A	Verified	chrXI	158613	159212	1	S000028668	YKL156C-A	""	Dubious	158975	159091	-1
S000001652	YKL169C	""	Dubious	chrXI	130685	131068	-1	S000001653	YKL170W	MRPL38	Verified	130634	131050	1
S000001653	YKL170W	MRPL38	Verified	chrXI	130634	131050	1	S000001652	YKL169C	""	Dubious	130685	131068	-1
S000001660	YKL177W	""	Dubious	chrXI	114356	114694	1	S000001661	YKL178C	STE3	Verified	113215	114627	-1
S000001661	YKL178C	STE3	Verified	chrXI	113215	114627	-1	S000001660	YKL177W	""	Dubious	114356	114694	1
S000001684	YKL201C	MNN4	Verified	chrXI	63930	67466	-1	S000001685	YKL202W	""	Dubious	63821	64402	1
S000001685	YKL202W	""	Dubious	chrXI	63821	64402	1	S000001684	YKL201C	MNN4	Verified	63930	67466	-1
S000001720	YKR012C	""	Dubious	chrXI	463739	464116	-1	S000001721	YKR013W	PRY2	Verified	463959	464948	1
S000001721	YKR013W	PRY2	Verified	chrXI	463959	464948	1	S000001720	YKR012C	""	Dubious	463739	464116	-1
S000001741	YKR033C	""	Dubious	chrXI	506879	507304	-1	S000001742	YKR034W	DAL80	Verified	506898	507707	1
S000001742	YKR034W	DAL80	Verified	chrXI	506898	507707	1	S000001741	YKR033C	""	Dubious	506879	507304	-1
S000001743	YKR035C	OPI8	Dubious	chrXI	507920	508561	-1	S000006435	YKR035W-A	DID2	Verified	507939	508553	1
S000001748	YKR040C	""	Dubious	chrXI	518063	518566	-1	S000001749	YKR041W	""	Verified	518198	518950	1
S000001749	YKR041W	""	Verified	chrXI	518198	518950	1	S000001748	YKR040C	""	Dubious	518063	518566	-1
S000001755	YKR047W	""	Dubious	chrXI	525257	525562	1	S000001756	YKR048C	NAP1	Verified	525387	526640	-1
S000001756	YKR048C	NAP1	Verified	chrXI	525387	526640	-1	S000001755	YKR047W	""	Dubious	525257	525562	1
S000001783	YKR075C	""	Uncharacterized	chrXI	579827	580750	-1	S000028669	YKR075W-A	""	Dubious	580212	580481	1
S000001821	YAR030C	""	Dubious	chrI	186512	186853	-1	S000000077	YAR029W	""	Uncharacterized	186321	186545	1
S000001821	YAR030C	""	Dubious	chrI	186512	186853	-1	S000000078	YAR031W	PRM9	Verified	186836	187732	1
S000001829	YFL065C	""	Uncharacterized	chrVI	3030	3338	-1	S000001830	YFL064C	""	Uncharacterized	3322	3846	-1
S000001830	YFL064C	""	Uncharacterized	chrVI	3322	3846	-1	S000001829	YFL065C	""	Uncharacterized	3030	3338	-1
S000001862	YFL032W	""	Dubious	chrVI	74872	75192	1	S000001863	YFL031W	HAC1	Verified	75179	76147	1
S000001863	YFL031W	HAC1	Verified	chrVI	75179	76147	1	S000001862	YFL032W	""	Dubious	74872	75192	1
S000001863	YFL031W	HAC1	Verified	chrVI	75179	76147	1	S000028629	YFL031C-A	""	Dubious	76014	76115	-1
S000001873	YFL021W	GAT1	Verified	chrVI	95966	97498	1	S000028766	YFL021C-A	""	Dubious	95761	96615	-1
S000001879	YFL015C	""	Dubious	chrVI	106469	106963	-1	S000028765	YFL015W-A	""	Dubious	106415	106732	1
S000001881	YFL013C	IES1	Verified	chrVI	107852	109930	-1	S000002964	YFL012W-A	""	Dubious	109810	110184	1
S000001881	YFL013C	IES1	Verified	chrVI	107852	109930	-1	S000028628	YFL013W-A	""	Dubious	107799	108602	1
S000001884	YFL010C	WWM1	Verified	chrVI	115108	115743	-1	S000001955	YFL010W-A	AUA1	Verified	114990	115274	1
S000001905	YFR009W	GCN20	Verified	chrVI	162488	164746	1	S000028823	YFR009W-A	""	Dubious	163875	164132	1
S000001907	YFR011C	MIC19	Verified	chrVI	166746	167258	-1	S000028824	YFR010W-A	""	Dubious	166728	166916	1
S000001931	YFR035C	""	Uncharacterized	chrVI	226121	226465	-1	S000028631	YFR034W-A	""	Dubious	226022	226309	1
S000001933	YFR037C	RSC8	Verified	chrVI	227513	229186	-1	S000028767	YFR036W-A	""	Dubious	227451	228101	1
S000001949	YFR053C	HXK1	Verified	chrVI	253592	255049	-1	S000028768	YFR052C-A	""	Dubious	253429	253734	-1
S000001951	YFR056C	""	Dubious	chrVI	263957	264325	-1	S000001952	YFR055W	IRC7	Verified	264204	265226	1
S000001952	YFR055W	IRC7	Verified	chrVI	264204	265226	1	S000001951	YFR056C	""	Dubious	263957	264325	-1
S000001955	YFL010W-A	AUA1	Verified	chrVI	114990	115274	1	S000001884	YFL010C	WWM1	Verified	115108	115743	-1
S000002136	YAL004W	""	Dubious	chrI	140760	141407	1	S000000004	YAL005C	SSA1	Verified	139503	141431	-1
S000002137	YAL034C-B	""	Dubious	chrI	79489	79842	-1	S000000032	YAL034W-A	MTW1	Verified	79718	80587	1
S000002138	YAL042C-A	""	Dubious	chrI	61231	61608	-1	S000000040	YAL042W	ERV46	Verified	61316	62563	1
S000002139	YAL056C-A	""	Dubious	chrI	38696	39046	-1	S000000054	YAL058W	CNE1	Verified	37464	38972	1
S000002143	YAL069W	""	Dubious	chrI	335	649	1	S000028594	YAL068W-A	""	Dubious	538	792	1
S000002145	YAR075W	""	Dubious	chrI	228844	229317	1	S000000095	YAR073W	IMD1	Dubious	227742	228953	1
S000002146	YBL005W-A	""	""	chrII	221330	222652	1	S000002147	YBL005W-B	""	""	221330	226598	1
S000002147	YBL005W-B	""	""	chrII	221330	226598	1	S000002146	YBL005W-A	""	""	221330	222652	1
S000002148	YBL100W-A	""	""	chrII	29935	31251	1	S000002149	YBL100W-B	""	""	29935	35248	1
S000002149	YBL100W-B	""	""	chrII	29935	35248	1	S000002148	YBL100W-A	""	""	29935	31251	1
S000002152	YBL112C	""	Uncharacterized	chrII	2582	2899	-1	S000002153	YBL113C	""	Uncharacterized	280	2658	-1
S000002153	YBL113C	""	Uncharacterized	chrII	280	2658	-1	S000002152	YBL112C	""	Uncharacterized	2582	2899	-1
S000002153	YBL113C	""	Uncharacterized	chrII	280	2658	-1	S000028599	YBL113W-A	""	Dubious	646	1128	1
S000002154	YBR012W-A	""	""	chrII	259869	261191	1	S000002155	YBR012W-B	""	""	259869	265140	1
S000002155	YBR012W-B	""	""	chrII	259869	265140	1	S000002154	YBR012W-A	""	""	259869	261191	1
S000002157	YBR089C-A	NHP6B	Verified	chrII	426190	426489	-1	S000000294	YBR090C	""	Uncharacterized	426333	427058	-1
S000002167	YDL009C	""	Uncharacterized	chrIV	432925	433248	-1	S000002168	YDL010W	GRX6	Verified	432330	433025	1
S000002168	YDL010W	GRX6	Verified	chrIV	432330	433025	1	S000002167	YDL009C	""	Uncharacterized	432925	433248	-1
S000002168	YDL010W	GRX6	Verified	chrIV	432330	433025	1	S000002169	YDL011C	""	Dubious	432308	432631	-1
S000002169	YDL011C	""	Dubious	chrIV	432308	432631	-1	S000002168	YDL010W	GRX6	Verified	432330	433025	1
S000002174	YDL016C	""	Dubious	chrIV	425570	425872	-1	S000002175	YDL017W	CDC7	Verified	424209	425732	1
S000002175	YDL017W	CDC7	Verified	chrIV	424209	425732	1	S000002174	YDL016C	""	Dubious	425570	425872	-1
S000002180	YDL022W	GPD1	Verified	chrIV	411825	413000	1	S000002181	YDL023C	""	Dubious	411761	412081	-1
S000002181	YDL023C	""	Dubious	chrIV	411761	412081	-1	S000002180	YDL022W	GPD1	Verified	411825	413000	1
S000002182	YDL024C	DIA3	Verified	chrIV	408451	409857	-1	S000028537	YDL022C-A	""	Uncharacterized	409808	410056	-1
S000002183	YDL025C	RTK1	Verified	chrIV	405344	407206	-1	S000028610	YDL025W-A	""	Dubious	405410	405514	1
S000002184	YDL026W	""	Dubious	chrIV	404749	405060	1	S000002185	YDL027C	""	Uncharacterized	403695	404957	-1
S000002185	YDL027C	""	Uncharacterized	chrIV	403695	404957	-1	S000002184	YDL026W	""	Dubious	404749	405060	1
S000002190	YDL032W	""	Dubious	chrIV	393690	394001	1	S000002191	YDL033C	SLM3	Verified	392659	393912	-1
S000002191	YDL033C	SLM3	Verified	chrIV	392659	393912	-1	S000002190	YDL032W	""	Dubious	393690	394001	1
S000002192	YDL034W	""	Dubious	chrIV	391783	392127	1	S000002193	YDL035C	GPR1	Verified	389172	392057	-1
S000002193	YDL035C	GPR1	Verified	chrIV	389172	392057	-1	S000002192	YDL034W	""	Dubious	391783	392127	1
S000002199	YDL041W	""	Dubious	chrIV	378102	378455	1	S000002200	YDL042C	SIR2	Verified	376757	378445	-1
S000002200	YDL042C	SIR2	Verified	chrIV	376757	378445	-1	S000002199	YDL041W	""	Dubious	378102	378455	1
S000002208	YDL050C	""	Dubious	chrIV	364446	364817	-1	S000002209	YDL051W	LHP1	Verified	363952	364779	1
S000002209	YDL051W	LHP1	Verified	chrIV	363952	364779	1	S000002208	YDL050C	""	Dubious	364446	364817	-1
S000002220	YDL062W	""	Dubious	chrIV	339857	340282	1	S000002221	YDL063C	SYO1	Verified	338272	340134	-1
S000002221	YDL063C	SYO1	Verified	chrIV	338272	340134	-1	S000002220	YDL062W	""	Dubious	339857	340282	1
S000002226	YDL068W	""	Dubious	chrIV	333500	333829	1	S000002227	YDL069C	CBS1	Verified	333121	333810	-1
S000002227	YDL069C	CBS1	Verified	chrIV	333121	333810	-1	S000002226	YDL068W	""	Dubious	333500	333829	1
S000002228	YDL070W	BDF2	Verified	chrIV	331024	332940	1	S000002229	YDL071C	""	Dubious	330666	331040	-1
S000002229	YDL071C	""	Dubious	chrIV	330666	331040	-1	S000002228	YDL070W	BDF2	Verified	331024	332940	1
S000002244	YDL086W	""	Uncharacterized	chrIV	301413	302234	1	S000028611	YDL086C-A	""	Dubious	301655	302089	-1
S000002251	YDL093W	PMT5	Verified	chrIV	289909	292140	1	S000002252	YDL094C	""	Dubious	289572	290081	-1
S000002252	YDL094C	""	Dubious	chrIV	289572	290081	-1	S000002251	YDL093W	PMT5	Verified	289909	292140	1
S000002253	YDL095W	PMT1	Verified	chrIV	287059	289512	1	S000002254	YDL096C	OPI6	Dubious	286998	287324	-1
S000002254	YDL096C	OPI6	Dubious	chrIV	286998	287324	-1	S000002253	YDL095W	PMT1	Verified	287059	289512	1
S000002273	YDL115C	IWR1	Verified	chrIV	253995	255126	-1	S000007598	YDL114W-A	""	Dubious	254935	255048	1
S000002276	YDL118W	""	Dubious	chrIV	247302	247682	1	S000002277	YDL119C	""	Uncharacterized	246689	247612	-1
S000002277	YDL119C	""	Uncharacterized	chrIV	246689	247612	-1	S000002276	YDL118W	""	Dubious	247302	247682	1
S000002309	YDL150W	RPC53	Verified	chrIV	183343	184611	1	S000002310	YDL151C	BUD30	Dubious	183318	183899	-1
S000002310	YDL151C	BUD30	Dubious	chrIV	183318	183899	-1	S000002309	YDL150W	RPC53	Verified	183343	184611	1
S000002311	YDL152W	""	Dubious	chrIV	182822	183187	1	S000002312	YDL153C	SAS10	Verified	181186	183018	-1
S000002312	YDL153C	SAS10	Verified	chrIV	181186	183018	-1	S000002311	YDL152W	""	Dubious	182822	183187	1
S000002317	YDL158C	""	Dubious	chrIV	173866	174174	-1	S000002318	YDL159W	STE7	Verified	172481	174028	1
S000002318	YDL159W	STE7	Verified	chrIV	172481	174028	1	S000002317	YDL158C	""	Dubious	173866	174174	-1
S000002318	YDL159W	STE7	Verified	chrIV	172481	174028	1	S000028612	YDL159C-B	""	Dubious	173056	173232	-1
S000002320	YDL161W	ENT1	Verified	chrIV	167714	169078	1	S000002321	YDL162C	""	Dubious	167359	167715	-1
S000002321	YDL162C	""	Dubious	chrIV	167359	167715	-1	S000002320	YDL161W	ENT1	Verified	167714	169078	1
S000002322	YDL163W	""	Dubious	chrIV	166956	167258	1	S000002323	YDL164C	CDC9	Verified	164987	167254	-1
S000002323	YDL164C	CDC9	Verified	chrIV	164987	167254	-1	S000002322	YDL163W	""	Dubious	166956	167258	1
S000002331	YDL172C	""	Dubious	chrIV	148607	149086	-1	S000002332	YDL173W	PAR32	Verified	148191	149078	1
S000002332	YDL173W	PAR32	Verified	chrIV	148191	149078	1	S000002331	YDL172C	""	Dubious	148607	149086	-1
S000002344	YDL185W	VMA1	Verified	chrIV	126787	130002	1	S000007600	YDL185C-A	""	Dubious	126608	126835	-1
S000002344	YDL185W	VMA1	Verified	chrIV	126787	130002	1	S000029636	""	""	""	127636	129000	1
S000002345	YDL186W	""	Uncharacterized	chrIV	125616	126449	1	S000002346	YDL187C	""	Dubious	125509	125838	-1
S000002346	YDL187C	""	Dubious	chrIV	125509	125838	-1	S000002345	YDL186W	""	Uncharacterized	125616	126449	1
S000002379	YDL220C	CDC13	Verified	chrIV	62244	65018	-1	S000002380	YDL221W	""	Dubious	62011	62562	1
S000002380	YDL221W	""	Dubious	chrIV	62011	62562	1	S000002379	YDL220C	CDC13	Verified	62244	65018	-1
S000002387	YDL228C	""	Dubious	chrIV	45277	45918	-1	S000002388	YDL229W	SSB1	Verified	44065	45906	1
S000002388	YDL229W	SSB1	Verified	chrIV	44065	45906	1	S000002387	YDL228C	""	Dubious	45277	45918	-1
S000002414	YDR007W	TRP1	Verified	chrIV	461842	462516	1	S000002415	YDR008C	""	Dubious	462252	462602	-1
S000002415	YDR008C	""	Dubious	chrIV	462252	462602	-1	S000002414	YDR007W	TRP1	Verified	461842	462516	1
S000002422	YDR015C	""	Dubious	chrIV	477960	478199	-1	S000113613	YDR014W-A	HED1	Verified	477797	478285	1
S000002455	YDR048C	""	Dubious	chrIV	553084	553398	-1	S000002456	YDR049W	VMS1	Verified	553254	555152	1
S000002456	YDR049W	VMS1	Verified	chrIV	553254	555152	1	S000002455	YDR048C	""	Dubious	553084	553398	-1
S000002459	YDR052C	DBF4	Verified	chrIV	558511	560625	-1	S000002460	YDR053W	""	Dubious	560249	560644	1
S000002460	YDR053W	""	Dubious	chrIV	560249	560644	1	S000002459	YDR052C	DBF4	Verified	558511	560625	-1
S000002500	YDR093W	DNF2	Verified	chrIV	631282	636120	1	S000002501	YDR094W	""	Dubious	635840	636175	1
S000002500	YDR093W	DNF2	Verified	chrIV	631282	636120	1	S000002502	YDR095C	""	Dubious	636117	636527	-1
S000002501	YDR094W	""	Dubious	chrIV	635840	636175	1	S000002500	YDR093W	DNF2	Verified	631282	636120	1
S000002501	YDR094W	""	Dubious	chrIV	635840	636175	1	S000002502	YDR095C	""	Dubious	636117	636527	-1
S000002502	YDR095C	""	Dubious	chrIV	636117	636527	-1	S000002500	YDR093W	DNF2	Verified	631282	636120	1
S000002502	YDR095C	""	Dubious	chrIV	636117	636527	-1	S000002501	YDR094W	""	Dubious	635840	636175	1
S000002518	YDR111C	ALT2	Uncharacterized	chrIV	678241	679764	-1	S000002519	YDR112W	IRC2	Dubious	679544	679852	1
S000002519	YDR112W	IRC2	Dubious	chrIV	679544	679852	1	S000002518	YDR111C	ALT2	Uncharacterized	678241	679764	-1
S000002521	YDR114C	""	Uncharacterized	chrIV	681924	682226	-1	S000002522	YDR115W	""	Verified	682175	682492	1
S000002522	YDR115W	""	Verified	chrIV	682175	682492	1	S000002521	YDR114C	""	Uncharacterized	681924	682226	-1
S000002525	YDR118W	APC4	Verified	chrIV	685882	687840	1	S000028820	YDR118W-A	""	Dubious	687768	687884	1
S000002540	YDR133C	""	Dubious	chrIV	720962	721297	-1	S000002541	YDR134C	""	""	721071	721481	-1
S000002541	YDR134C	""	""	chrIV	721071	721481	-1	S000002540	YDR133C	""	Dubious	720962	721297	-1
S000002543	YDR136C	VPS61	Dubious	chrIV	727711	728283	-1	S000002544	YDR137W	RGP1	Verified	728259	730250	1
S000002544	YDR137W	RGP1	Verified	chrIV	728259	730250	1	S000002543	YDR136C	VPS61	Dubious	727711	728283	-1
S000002556	YDR149C	""	Dubious	chrIV	755555	756262	-1	S000002557	YDR150W	NUM1	Verified	755628	763874	1
S000002557	YDR150W	NUM1	Verified	chrIV	755628	763874	1	S000002556	YDR149C	""	Dubious	755555	756262	-1
S000002561	YDR154C	""	Dubious	chrIV	768403	768753	-1	S000002562	YDR155C	CPR1	Verified	768512	769000	-1
S000002562	YDR155C	CPR1	Verified	chrIV	768512	769000	-1	S000002561	YDR154C	""	Dubious	768403	768753	-1
S000002563	YDR156W	RPA14	Verified	chrIV	769525	769938	1	S000002564	YDR157W	""	Dubious	769931	770332	1
S000002564	YDR157W	""	Dubious	chrIV	769931	770332	1	S000002563	YDR156W	RPA14	Verified	769525	769938	1
S000002592	YDR184C	ATC1	Verified	chrIV	830629	831513	-1	S000028540	YDR183C-A	""	Dubious	830397	830654	-1
S000002595	YDR187C	""	Dubious	chrIV	836228	836746	-1	S000002596	YDR188W	CCT6	Verified	836421	838061	1
S000002596	YDR188W	CCT6	Verified	chrIV	836421	838061	1	S000002595	YDR187C	""	Dubious	836228	836746	-1
S000002600	YDR192C	NUP42	Verified	chrIV	843569	844861	-1	S000002601	YDR193W	""	Dubious	844554	844952	1
S000002601	YDR193W	""	Dubious	chrIV	844554	844952	1	S000002600	YDR192C	NUP42	Verified	843569	844861	-1
S000002607	YDR199W	""	Dubious	chrIV	854175	854540	1	S000002608	YDR200C	VPS64	Verified	854279	856093	-1
S000002608	YDR200C	VPS64	Verified	chrIV	854279	856093	-1	S000002607	YDR199W	""	Dubious	854175	854540	1
S000002610	YDR202C	RAV2	Verified	chrIV	856898	857953	-1	S000002611	YDR203W	""	Dubious	857682	857999	1
S000002611	YDR203W	""	Dubious	chrIV	857682	857999	1	S000002610	YDR202C	RAV2	Verified	856898	857953	-1
S000002617	YDR209C	""	Dubious	chrIV	871036	871449	-1	S000002618	YDR210W	""	Uncharacterized	871074	871301	1
S000002618	YDR210W	""	Uncharacterized	chrIV	871074	871301	1	S000002617	YDR209C	""	Dubious	871036	871449	-1
S000002638	YDR230W	""	Dubious	chrIV	926223	926570	1	S000002639	YDR231C	COX20	Verified	926293	926910	-1
S000002639	YDR231C	COX20	Verified	chrIV	926293	926910	-1	S000002638	YDR230W	""	Dubious	926223	926570	1
S000002648	YDR240C	SNU56	Verified	chrIV	943674	945152	-1	S000002649	YDR241W	BUD26	Dubious	945151	945438	1
S000002649	YDR241W	BUD26	Dubious	chrIV	945151	945438	1	S000002648	YDR240C	SNU56	Verified	943674	945152	-1
S000002677	YDR269C	""	Dubious	chrIV	1005665	1005988	-1	S000002678	YDR270W	CCC2	Verified	1005675	1008689	1
S000002678	YDR270W	CCC2	Verified	chrIV	1005675	1008689	1	S000002677	YDR269C	""	Dubious	1005665	1005988	-1
S000002678	YDR270W	CCC2	Verified	chrIV	1005675	1008689	1	S000002679	YDR271C	""	Dubious	1008395	1008766	-1
S000002679	YDR271C	""	Dubious	chrIV	1008395	1008766	-1	S000002678	YDR270W	CCC2	Verified	1005675	1008689	1
S000002686	YDR278C	""	Dubious	chrIV	1017001	1017318	-1	S000006546	tE(CUC)D	""	""	1017207	1017278	-1
S000002697	YDR289C	RTT103	Verified	chrIV	1038280	1039509	-1	S000002698	YDR290W	""	Dubious	1039370	1039699	1
S000002698	YDR290W	""	Dubious	chrIV	1039370	1039699	1	S000002697	YDR289C	RTT103	Verified	1038280	1039509	-1
S000002735	YDR327W	""	Dubious	chrIV	1125302	1125628	1	S000002736	YDR328C	SKP1	Verified	1125434	1126018	-1
S000002736	YDR328C	SKP1	Verified	chrIV	1125434	1126018	-1	S000002735	YDR327W	""	Dubious	1125302	1125628	1
S000002748	YDR340W	""	Dubious	chrIV	1150881	1151183	1	S000006777	tX(XXX)D	""	""	1150842	1150941	-1
S000002762	YDR354W	TRP4	Verified	chrIV	1184747	1185889	1	S000028613	YDR354C-A	""	Dubious	1185139	1185282	-1
S000002763	YDR355C	""	Dubious	chrIV	1186067	1186369	-1	S000002764	YDR356W	SPC110	Verified	1186107	1188941	1
S000002764	YDR356W	SPC110	Verified	chrIV	1186107	1188941	1	S000002763	YDR355C	""	Dubious	1186067	1186369	-1
S000002767	YDR359C	EAF1	Verified	chrIV	1191936	1194884	-1	S000002768	YDR360W	OPI7	Dubious	1194598	1195032	1
S000002768	YDR360W	OPI7	Dubious	chrIV	1194598	1195032	1	S000002767	YDR359C	EAF1	Verified	1191936	1194884	-1
S000002779	YDR371W	CTS2	Uncharacterized	chrIV	1219413	1220948	1	S000028822	YDR371C-A	""	Dubious	1219509	1219613	-1
S000002804	YDR396W	""	Dubious	chrIV	1266295	1266795	1	S000002805	YDR397C	NCB2	Verified	1266366	1266898	-1
S000002805	YDR397C	NCB2	Verified	chrIV	1266366	1266898	-1	S000002804	YDR396W	""	Dubious	1266295	1266795	1
S000002809	YDR401W	""	Dubious	chrIV	1272223	1272786	1	S000002810	YDR402C	DIT2	Verified	1272234	1273703	-1
S000002810	YDR402C	DIT2	Verified	chrIV	1272234	1273703	-1	S000002809	YDR401W	""	Dubious	1272223	1272786	1
S000002814	YDR406W	PDR15	Verified	chrIV	1279210	1283799	1	S000028543	YDR406W-A	""	Dubious	1283799	1284044	1
S000002820	YDR412W	RRP17	Verified	chrIV	1294693	1295400	1	S000002821	YDR413C	""	Dubious	1294836	1295411	-1
S000002821	YDR413C	""	Dubious	chrIV	1294836	1295411	-1	S000002820	YDR412W	RRP17	Verified	1294693	1295400	1
S000002825	YDR417C	""	Dubious	chrIV	1301555	1301926	-1	S000002826	YDR418W	RPL12B	Verified	1301616	1302113	1
